chembl_id,smiles,standard_value,bioactivity
CHEMBL395610,CCCCC(=O)NCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,56.0,active
CHEMBL557175,NCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,42.0,active
CHEMBL4458129,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,60.0,active
CHEMBL1092145,COCCN1CCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)CC1,40.0,active
CHEMBL1092778,CCCN1CCCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)C1,56.0,active
CHEMBL589834,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCC(N2CCC2)CC1,1.0,active
CHEMBL604040,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ccccn2)CC1,2.8,active
CHEMBL592543,CC(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,2.1,active
CHEMBL599596,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCOCC1,59.0,active
CHEMBL590058,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCCCC1,200.0,active
CHEMBL325336,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCCC2)NCC(=O)N1CCN(c2ncccn2)CC1,900.0,active
CHEMBL189695,O=S(=O)(NCCCNN1CCOCC1)c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2,450.0,active
CHEMBL420964,O=C(CCN1CCC(N2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,243.0,active
CHEMBL4168250,Cc1ccc2nc3ccccc3c(Nc3cccc(-c4nc5c(C(N)=O)cccc5[nH]4)c3)c2c1,510.0,active
CHEMBL47371,Cc1cccc2c(O)nc3cc(C(F)(F)F)c([N+](=O)[O-])cc3c12,136.0,active
CHEMBL381382,O=C(NC1CCCC1)C1CCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,15.0,active
CHEMBL3219282,CN(C)Cc1cc2c([nH]c(=O)c3ccccc32)s1,180.0,active
CHEMBL124815,O=C1NC(CCCl)Oc2ccccc21,8500.0,intermediate
CHEMBL417002,O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,36.0,active
