chembl_id,smiles,standard_value,bioactivity,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL480233,COc1ccc(-c2cnc3c(C(N)=O)cccc3c2)cc1,62000.0,inactive,278.311,3.0093000000000014,1.0,3.0
CHEMBL125759,NC(=O)c1cccc(F)c1,20000.0,inactive,139.129,0.9246000000000001,1.0,1.0
CHEMBL3394708,COc1ccc2c(c1)CCN1C(=O)c3ccccc3C21O,1075.6,intermediate,281.311,1.9004999999999996,1.0,3.0
CHEMBL3394704,COc1ccc(OC)c2c1CCN1C(=O)c3ccccc3C21O,1279.7,intermediate,311.337,1.9091,1.0,4.0
CHEMBL3394709,O=C1c2ccccc2C2(O)c3ccc(Br)cc3CCN12,138.5,active,330.1810000000001,2.6544000000000016,1.0,2.0
CHEMBL105765,O=C(CCCCCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,250.0,active,501.6130000000004,0.14130000000000287,2.0,9.0
CHEMBL250489,O=c1[nH]c(CCCN2CCC(c3ccccc3)CC2)nc2c(Cl)cccc12,103.0,active,381.9070000000001,4.388700000000004,1.0,3.0
CHEMBL250488,Cc1cccc2c(=O)[nH]c(CCCN3CC=C(c4ccc(Cl)cc4)CC3)nc12,16.0,active,393.9180000000001,4.6068200000000035,1.0,3.0
CHEMBL125596,NC(=O)c1ccc(F)cc1,200000.0,inactive,139.129,0.9246000000000001,1.0,1.0
CHEMBL3735832,O=C(Cc1cccc(I)c1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,5.8,active,610.4270000000002,3.7847000000000026,1.0,4.0
CHEMBL399637,Cc1cccc2c(=O)[nH]c(C3=CC(N4CC=C(c5ccc(F)cc5)CC4)CC3)nc12,25.0,active,401.48500000000024,4.705720000000004,1.0,3.0
CHEMBL3735363,COc1ccc(C(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)cc1I,17.6,active,626.4260000000002,3.8644000000000025,1.0,5.0
CHEMBL246565,NC(CCCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1)C(=O)O,22.0,active,474.5420000000003,3.5515000000000017,4.0,6.0
CHEMBL397772,Nc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,25.0,active,374.4250000000001,3.3991000000000016,3.0,5.0
CHEMBL395610,CCCCC(=O)NCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,56.0,active,472.5700000000003,4.623300000000003,3.0,5.0
CHEMBL557175,NCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,42.0,active,388.4520000000001,3.2756000000000016,3.0,5.0
CHEMBL4458129,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,60.0,active,312.344,3.2650200000000016,2.0,3.0
CHEMBL1092145,COCCN1CCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)CC1,40.0,active,374.50600000000026,2.8070000000000013,1.0,5.0
CHEMBL1092778,CCCN1CCCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)C1,56.0,active,358.5070000000002,3.5706000000000024,1.0,4.0
CHEMBL589834,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCC(N2CCC2)CC1,1.0,active,477.36700000000036,3.9746000000000032,1.0,4.0
CHEMBL604040,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ccccn2)CC1,2.8,active,500.3610000000003,4.021700000000003,1.0,5.0
CHEMBL592543,CC(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,2.1,active,493.36600000000027,3.604700000000002,1.0,4.0
CHEMBL599596,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCOCC1,59.0,active,424.25900000000024,3.136700000000002,1.0,4.0
